#,TW,CN
1,亞倫戴維斯,亞倫·戴維斯
2,傑克森,傑克遜
3,傑森,傑森·埃奧尼羅
4,凱倫,凱倫
5,加根,加爾岡
6,圖姆斯,圖姆斯
7,墨菲,
8,奇塔瑞,
9,奧丁,奧丁
10,奧勒岡,
11,布魯克林,布魯克林
12,帕克,帕克
13,彼得,彼得
14,,彼得來
15,彼得帕克,彼得·帕克
16,披薩,披薩
17,東尼,託尼
18,東尼史塔克,託尼·斯塔克
19,塔克,
20,,斯塔克
21,梅森,梅森
22,梅金,梅金
23,法蘭克辛納屈,法蘭克·辛納屈
24,紐澤西,
25,索爾,索爾
26,維亞,
27,,索科維亞
28,莎莉,薩利
29,華盛頓,華盛頓
30,,華盛頓那
31,萊迪,
32,,弗雷迪
33,蓋瑞,蓋瑞
34,薩姆特,薩姆特
35,蜜雪兒,米歇爾
36,阿尼,安妮
37,霍根,霍根
38,麥克加根,麥克·加根蓋爾
39,,亞伯拉罕
40,,佩德羅
41,,克羅克特
42,,奈德
43,,威爾遜
44,,尼爾斯·玻爾
45,,弗拉什
46,,德爾馬
47,,斯普林斯汀
48,,斯特克
49,,玻爾
50,,詹森
51,,貝蒂·布蘭特
52,,雪鐵龍
53,,馬喬裏
